index,mse,js_per_seq,js_conc,poiss,pr_corr,sp_corr,targets,pred type,eval type,bin_size,data_dir,l_rate,loss_fn,model_fn,num_epochs,window_size,run_dir
13,1.6413348,0.42574662,0.47136214725489584,,0.5027632485234527,0.28914331580599867,PC-3,raw,whole,1,datasets/complete/peak_centered/i_3072_w_1/,0.001,multinomialnll_mse_reg,bpnet,100,2048,/home/shush/profile/QuantPred/paper_runs/bpnet/bin_loss_40/run-20211013_133014-feom6rqk
14,1.0163114,0.40468526,0.4340878154768322,,0.574263600977688,0.33601847811083463,MCF,raw,whole,1,datasets/complete/peak_centered/i_3072_w_1/,0.001,multinomialnll_mse_reg,bpnet,100,2048,/home/shush/profile/QuantPred/paper_runs/bpnet/bin_loss_40/run-20211013_133014-feom6rqk
0,1.3464674,0.14650838,0.18808951686412345,,0.5194353389955725,0.32928960751009595,GM21381,scaled,whole,1,datasets/complete/peak_centered/i_3072_w_1/,0.001,multinomialnll_mse_reg,bpnet,100,2048,/home/shush/profile/QuantPred/paper_runs/bpnet/bin_loss_40/run-20211013_133014-feom6rqk
1,1.5358231,0.21550867,0.25670730792856594,,0.6105921602203188,0.5728181943072805,GM23338,scaled,whole,1,datasets/complete/peak_centered/i_3072_w_1/,0.001,multinomialnll_mse_reg,bpnet,100,2048,/home/shush/profile/QuantPred/paper_runs/bpnet/bin_loss_40/run-20211013_133014-feom6rqk
2,1.2425158,0.18256715,0.22168627489696255,,0.5813665123653579,0.6026388345824482,HepG2,scaled,whole,1,datasets/complete/peak_centered/i_3072_w_1/,0.001,multinomialnll_mse_reg,bpnet,100,2048,/home/shush/profile/QuantPred/paper_runs/bpnet/bin_loss_40/run-20211013_133014-feom6rqk
3,1.9067892,0.20386967,0.25290673936112823,,0.5546823415038514,0.40805129604187834,RWPE2,scaled,whole,1,datasets/complete/peak_centered/i_3072_w_1/,0.001,multinomialnll_mse_reg,bpnet,100,2048,/home/shush/profile/QuantPred/paper_runs/bpnet/bin_loss_40/run-20211013_133014-feom6rqk
4,1.5607023,0.17240731,0.20825669349203493,,0.3941877594730233,0.21826452993324788,HG03575,scaled,whole,1,datasets/complete/peak_centered/i_3072_w_1/,0.001,multinomialnll_mse_reg,bpnet,100,2048,/home/shush/profile/QuantPred/paper_runs/bpnet/bin_loss_40/run-20211013_133014-feom6rqk
5,1.0465103,0.15091854,0.1848188875943802,,0.6185260506330317,0.5558433649490209,K562,scaled,whole,1,datasets/complete/peak_centered/i_3072_w_1/,0.001,multinomialnll_mse_reg,bpnet,100,2048,/home/shush/profile/QuantPred/paper_runs/bpnet/bin_loss_40/run-20211013_133014-feom6rqk
6,1.647617,0.19597585,0.2521946510851512,,0.4827421077776992,0.2889779656524161,DND-41,scaled,whole,1,datasets/complete/peak_centered/i_3072_w_1/,0.001,multinomialnll_mse_reg,bpnet,100,2048,/home/shush/profile/QuantPred/paper_runs/bpnet/bin_loss_40/run-20211013_133014-feom6rqk
7,1.3908656,0.17825158,0.2256961569761855,,0.5571732660785059,0.45441493752780565,GM12878,scaled,whole,1,datasets/complete/peak_centered/i_3072_w_1/,0.001,multinomialnll_mse_reg,bpnet,100,2048,/home/shush/profile/QuantPred/paper_runs/bpnet/bin_loss_40/run-20211013_133014-feom6rqk
8,1.0905688,0.13942945,0.18230401178974076,,0.6644449191502965,0.611707643356372,A549,scaled,whole,1,datasets/complete/peak_centered/i_3072_w_1/,0.001,multinomialnll_mse_reg,bpnet,100,2048,/home/shush/profile/QuantPred/paper_runs/bpnet/bin_loss_40/run-20211013_133014-feom6rqk
9,1.4595511,0.17069225,0.23107837610387807,,0.6217431302701133,0.39608169135118476,HCT116,scaled,whole,1,datasets/complete/peak_centered/i_3072_w_1/,0.001,multinomialnll_mse_reg,bpnet,100,2048,/home/shush/profile/QuantPred/paper_runs/bpnet/bin_loss_40/run-20211013_133014-feom6rqk
10,1.7425913,0.21961665,0.2682852208105262,,0.5250920087106923,0.3077521080181333,IMR-90,scaled,whole,1,datasets/complete/peak_centered/i_3072_w_1/,0.001,multinomialnll_mse_reg,bpnet,100,2048,/home/shush/profile/QuantPred/paper_runs/bpnet/bin_loss_40/run-20211013_133014-feom6rqk
11,1.3306651,0.14835276,0.18781024379295375,,0.5685130592609902,0.46208569603779825,NCI-H929,scaled,whole,1,datasets/complete/peak_centered/i_3072_w_1/,0.001,multinomialnll_mse_reg,bpnet,100,2048,/home/shush/profile/QuantPred/paper_runs/bpnet/bin_loss_40/run-20211013_133014-feom6rqk
